"","hospital","year","epiweek","total_tested","inf_a_pos","inf_b_pos","sars_cov2_pos","vsr_pos","flu_gen_inc","flu_gen_inc_roll","flua_inc","flua_inc_roll","flub_inc","flub_inc_roll","scv2_inc","scv2_inc_roll","rsv_inc","rsv_inc_roll"
"13","Hospital de Chimaltenango",2025,47,33,4,0,1,21,12.1212121212121,13.5802469135802,12.1212121212121,12.3456790123457,0,1.23456790123457,3.03030303030303,1.23456790123457,63.6363636363636,56.7901234567901
"14","Hospital de Chimaltenango",2025,48,24,6,0,0,12,25,14.2857142857143,25,14.2857142857143,0,0,0,1.2987012987013,50,57.1428571428571
"15","Hospital de Chimaltenango",2025,49,20,1,0,0,11,5,15.1515151515152,5,15.1515151515152,0,0,0,0,55,53.030303030303
"16","Hospital de Chimaltenango",2025,50,22,3,0,0,12,13.6363636363636,15.0684931506849,13.6363636363636,15.0684931506849,0,0,0,0,54.5454545454545,45.2054794520548
"17","Hospital de Chimaltenango",2025,51,31,7,0,0,10,22.5806451612903,18.3098591549296,22.5806451612903,18.3098591549296,0,0,0,0,32.258064516129,42.2535211267606
"18","Hospital de Chimaltenango",2025,52,18,3,0,0,8,16.6666666666667,24.1935483870968,16.6666666666667,24.1935483870968,0,0,0,0,44.4444444444444,35.4838709677419
"19","Hospital de Chimaltenango",2025,53,13,5,0,0,4,38.4615384615385,34.9206349206349,38.4615384615385,34.9206349206349,0,0,0,0,30.7692307692308,26.984126984127
"20","Hospital de Chimaltenango",2026,1,32,14,0,0,5,43.75,36.9230769230769,43.75,36.9230769230769,0,0,0,0,15.625,20
"21","Hospital de Chimaltenango",2026,2,20,5,0,0,4,25,30.4347826086957,25,30.4347826086957,0,0,0,0,20,14.4927536231884
"22","Hospital de Chimaltenango",2026,3,17,2,0,0,1,11.7647058823529,21.1538461538462,11.7647058823529,21.1538461538462,0,0,0,0,5.88235294117647,9.61538461538461
"23","Hospital de Chimaltenango",2026,4,15,4,0,0,0,26.6666666666667,26.9230769230769,26.6666666666667,26.9230769230769,0,0,0,0,0,3.84615384615385
"24","Hospital de Chimaltenango",2026,5,20,8,0,0,1,40,31.7460317460317,40,31.7460317460317,0,0,0,0,5,3.17460317460317
"25","Hospital de Chimaltenango",2026,6,28,8,0,0,1,28.5714285714286,38.1578947368421,28.5714285714286,38.1578947368421,0,0,0,0,3.57142857142857,3.94736842105263
"26","Hospital de Chimaltenango",2026,7,28,13,0,0,1,46.4285714285714,32.5,46.4285714285714,32.5,0,0,0,0,3.57142857142857,3.75
"27","Hospital de Chimaltenango",2026,8,24,5,0,0,1,20.8333333333333,31.25,20.8333333333333,31.25,0,0,0,0,4.16666666666667,3.75
"28","Hospital de Chimaltenango",2026,9,28,7,0,0,1,25,28,25,28,0,0,0,0,3.57142857142857,4
"29","Hospital de Chimaltenango",2026,10,23,9,0,0,1,39.1304347826087,32.5301204819277,39.1304347826087,32.5301204819277,0,0,0,0,4.34782608695652,3.6144578313253
"30","Hospital de Chimaltenango",2026,11,32,11,0,0,1,34.375,31.7647058823529,34.375,31.7647058823529,0,0,0,0,3.125,2.35294117647059
"31","Hospital de Chimaltenango",2026,12,30,7,0,0,0,23.3333333333333,29.8701298701299,23.3333333333333,29.8701298701299,0,0,0,0,0,1.2987012987013
"32","Hospital de Chimaltenango",2026,13,15,5,0,0,0,33.3333333333333,19.7183098591549,33.3333333333333,19.7183098591549,0,0,0,0,0,8.45070422535211
"33","Hospital de Chimaltenango",2026,14,26,2,0,0,6,7.69230769230769,10.6060606060606,7.69230769230769,10.6060606060606,0,0,0,0,23.0769230769231,12.1212121212121
